STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00025333,"SITKA AIRPORT, AK US",2018-07-01,0.45,,62,38
USW00025333,"SITKA AIRPORT, AK US",2018-07-02,0.00,,58,40
USW00025333,"SITKA AIRPORT, AK US",2018-07-03,0.00,,70,45
USW00025333,"SITKA AIRPORT, AK US",2018-07-04,0.00,,70,48
USW00025333,"SITKA AIRPORT, AK US",2018-07-05,0.00,,67,48
USW00025333,"SITKA AIRPORT, AK US",2018-07-06,0.00,,59,43
USW00025333,"SITKA AIRPORT, AK US",2018-07-07,0.00,,58,42
USW00025333,"SITKA AIRPORT, AK US",2018-07-08,0.00,,62,45
USW00025333,"SITKA AIRPORT, AK US",2018-07-09,0.00,,66,48
USW00025333,"SITKA AIRPORT, AK US",2018-07-10,0.00,,59,46
USW00025333,"SITKA AIRPORT, AK US",2018-07-11,0.00,,56,42
USW00025333,"SITKA AIRPORT, AK US",2018-07-12,0.00,,63,44
USW00025333,"SITKA AIRPORT, AK US",2018-07-13,0.00,,65,47
USW00025333,"SITKA AIRPORT, AK US",2018-07-14,0.00,,58,43
USW00025333,"SITKA AIRPORT, AK US",2018-07-15,0.00,,56,42
USW00025333,"SITKA AIRPORT, AK US",2018-07-16,0.00,,59,43
USW00025333,"SITKA AIRPORT, AK US",2018-07-17,0.00,,64,46
USW00025333,"SITKA AIRPORT, AK US",2018-07-18,0.00,,60,45
USW00025333,"SITKA AIRPORT, AK US",2018-07-19,0.00,,60,45
USW00025333,"SITKA AIRPORT, AK US",2018-07-20,0.00,,61,46
USW00025333,"SITKA AIRPORT, AK US",2018-07-21,0.00,,65,48
USW00025333,"SITKA AIRPORT, AK US",2018-07-22,0.00,,65,49
USW00025333,"SITKA AIRPORT, AK US",2018-07-23,0.00,,63,47
USW00025333,"SITKA AIRPORT, AK US",2018-07-24,0.00,,59,44
USW00025333,"SITKA AIRPORT, AK US",2018-07-25,0.00,,64,46
USW00025333,"SITKA AIRPORT, AK US",2018-07-26,0.00,,65,48
USW00025333,"SITKA AIRPORT, AK US",2018-07-27,0.00,,68,50
USW00025333,"SITKA AIRPORT, AK US",2018-07-28,0.00,,66,49
USW00025333,"SITKA AIRPORT, AK US",2018-07-29,0.00,,64,47
USW00025333,"SITKA AIRPORT, AK US",2018-07-30,0.00,,67,48
USW00025333,"SITKA AIRPORT, AK US",2018-07-31,0.00,,65,48
